sample,species,rep,mass,percN,percC,C:N
Dylan syc 1,Sycamore,1,0.517,1.509281158,35.75662613,23.69116313
Dylan syc 2,Sycamore,2,0.581,1.076479793,37.68989182,35.01216843
Dylan syc 3,Sycamore,3,0.492,0,32.15151596,#DIV/0!
Dylan syc 4,Sycamore,4,0.5,0,33.01647949,#DIV/0!
Dylan syc 5,Sycamore,5,0.504,0.988407075,34.61363602,35.0196158
Dylan syc 6,Sycamore,6,0.528,1.136111856,34.46416092,30.33518288
Dylan sg1,Sweetgum,1,0.541,1.119901061,35.27855682,31.50149424
Dylan sg2,Sweetgum,2,0.586,0.645147562,37.46576691,58.07317444
Dylan sg3,Sweetgum,3,0.521,0.612636507,36.65858459,59.83741447
Dylan sg4,Sweetgum,4,0.488,0.905055821,37.96374512,41.94630236
Dylan sg5,Sweetgum,5,0.591,0.552407146,37.32172394,67.56198614
Dylan sg6,Sweetgum,6,0.47,0.910430193,42.18421173,46.33437254
Dylan sg7,Sweetgum,7,0.503,0,36.08641434,#DIV/0!
Dylan Gk1,Gingko,1,0.952,0.568624556,37.41966248,65.80732767
Dylan Gk2,Gingko,2,0.999,0.823734879,40.03812027,48.60559057
Dylan Gk3,Gingko,3,0.999,0.49105081,31.86572075,64.89291963
Dylan Gk4,Gingko,4,0.965,0.90856564,37.99254227,41.81595759
Dylan Gk5,Gingko,5,0.988,0.990076303,44.16244888,44.60509634
Dylan R01,Red Oak,1,0.991,0.575780869,44.04405594,76.49447613
Dylan R02,Red Oak,2,0.981,0.524609149,43.11476898,82.18455409
Dylan R03,Red Oak,3,1.008,0.891528666,55.58834839,62.35172296
Dylan R04,Red Oak,4,0.95,0.513840795,47.378685,92.20498929
Dylan R05,Red Oak,5,0.935,0.566759884,46.34953308,81.77984079
Dylan R05 d,Red Oak,5,0.969,0.472259015,42.72695541,90.47356229