site,leaf_type,species,mesh,code_num,om_percent
BA,GKL,Gingko,Large,239,85.16315093
BA,GKL,Gingko,Large,241,84.77158386
BA,GKL,Gingko,Large,203,80.60677666
BA,GKL,Gingko,Large,232,84.00650268
BA,GKL,Gingko,Large,240,84.60520168
G,GKL,Gingko,Large,216,85.0385261
G,GKL,Gingko,Large,212,86.16857177
G,GKL,Gingko,Large,220,87.97058588
G,GKL,Gingko,Large,231,85.44838597
G,GKL,Gingko,Large,223,87.12272737
W,GKL,Gingko,Large,201,81.48973184
W,GKL,Gingko,Large,244,88.40093056
W,GKL,Gingko,Large,209,84.78256131
W,GKL,Gingko,Large,211,85.79089045
W,GKL,Gingko,Large,208,84.28885146
CC,GKL,Gingko,Large,228,87.79758727
CC,GKL,Gingko,Large,227,86.32908636
CC,GKL,Gingko,Large,221,86.82600943
CC,GKL,Gingko,Large,219,86.64345523
CC,GKL,Gingko,Large,213,83.97767166
BA,GKS,Gingko,Small,255,76.62463824
BA,GKS,Gingko,Small,252,79.99387724
BA,GKS,Gingko,Small,256,81.86103031
BA,GKS,Gingko,Small,254,73.3948304
BA,GKS,Gingko,Small,251,83.69043261
G,GKS,Gingko,Small,271,79.84989815
G,GKS,Gingko,Small,blk,81.27328421
G,GKS,Gingko,Small,269,86.10402355
G,GKS,Gingko,Small,2__,82.72545817
G,GKS,Gingko,Small,delta,86.71319797
W,GKS,Gingko,Small,283,84.51380826
W,GKS,Gingko,Small,280,86.50664794
W,GKS,Gingko,Small,286,86.00961439
W,GKS,Gingko,Small,279,87.30932017
W,GKS,Gingko,Small,248,88.49236141
CC,GKS,Gingko,Small,289,85.72348737
CC,GKS,Gingko,Small,276,84.40738978
CC,GKS,Gingko,Small,274,86.50749026
CC,GKS,Gingko,Small,282,87.07099098
CC,GKS,Gingko,Small,275,85.20758808
BA,SGL,Sweetgum,Large,326,85.67882273
BA,SGL,Sweetgum,Large,318,81.79984543
BA,SGL,Sweetgum,Large,329,89.72048145
BA,SGL,Sweetgum,Large,324,88.60350877
BA,SGL,Sweetgum,Large,328,91.10666955
G,SGL,Sweetgum,Large,320,78.36432106
G,SGL,Sweetgum,Large,301,86.47095717
G,SGL,Sweetgum,Large,313,90.05094789
G,SGL,Sweetgum,Large,315,90.27985603
G,SGL,Sweetgum,Large,322,91.24229768
W,SGL,Sweetgum,Large,338,90.21078495
W,SGL,Sweetgum,Large,327,89.11818048
W,SGL,Sweetgum,Large,340,91.35420664
W,SGL,Sweetgum,Large,339,92.08442747
W,SGL,Sweetgum,Large,334,92.71094013
CC,SGL,Sweetgum,Large,304,91.41331989
CC,SGL,Sweetgum,Large,332,90.74417415
CC,SGL,Sweetgum,Large,314,92.88757299
CC,SGL,Sweetgum,Large,319,91.5375447
CC,SGL,Sweetgum,Large,311,89.68471198
BA,SGS,Sweetgum,Small,372,76.30710061
BA,SGS,Sweetgum,Small,365,70.39966325
BA,SGS,Sweetgum,Small,366,84.5987376
BA,SGS,Sweetgum,Small,364,84.59177643
BA,SGS,Sweetgum,Small,373,80.42651583
G,SGS,Sweetgum,Small,362,92.95918182
G,SGS,Sweetgum,Small,360,89.83050847
G,SGS,Sweetgum,Small,344,83.43890062
G,SGS,Sweetgum,Small,361,89.09315407
G,SGS,Sweetgum,Small,349,89.29443645
W,SGS,Sweetgum,Small,385,91.69579783
W,SGS,Sweetgum,Small,379,88.22963814
W,SGS,Sweetgum,Small,384,92.1833166
W,SGS,Sweetgum,Small,376,91.50276876
W,SGS,Sweetgum,Small,380,90.08887993
CC,SGS,Sweetgum,Small,358,86.12880252
CC,SGS,Sweetgum,Small,353,92.83940687
CC,SGS,Sweetgum,Small,355,87.41152108
CC,SGS,Sweetgum,Small,354,91.93918427
CC,SGS,Sweetgum,Small,357,92.0625735
BA,ROL,Red Oak ,Large,403,88.27710999
BA,ROL,Red Oak ,Large,402,89.23486515
BA,ROL,Red Oak ,Large,421,88.10628505
BA,ROL,Red Oak ,Large,407,90.35495188
G,ROL,Red Oak ,Large,413,90.95110912
G,ROL,Red Oak ,Large,419,91.55709764
G,ROL,Red Oak ,Large,423,88.6039473
G,ROL,Red Oak ,Large,417,98.32085561
W,ROL,Red Oak ,Large,404,93.04567048
W,ROL,Red Oak ,Large,416,93.18168969
W,ROL,Red Oak ,Large,406,87.68196876
CC,ROL,Red Oak ,Large,401,83.35266715
CC,ROL,Red Oak ,Large,424,85.40553013
CC,ROL,Red Oak ,Large,409,90.75611213
CC,ROL,Red Oak ,Large,411,92.79594711
BA,ROS,Red Oak ,Small,433,83.03377491
BA,ROS,Red Oak ,Small,442,80.92791267
BA,ROS,Red Oak ,Small,431,81.56645198
BA,ROS,Red Oak ,Small,432,87.42165403
G,ROS,Red Oak ,Small,428,91.41638998
G,ROS,Red Oak ,Small,427,89.49957877
G,ROS,Red Oak ,Small,439,90.94500409
G,ROS,Red Oak ,Small,4xx,91.16697035
W,ROS,Red Oak ,Small,440,92.52576332
W,ROS,Red Oak ,Small,441,91.69036399
W,ROS,Red Oak ,Small,446,91.75253517
W,ROS,Red Oak ,Small,429op,92.84702821
CC,ROS,Red Oak ,Small,447,92.6964146
CC,ROS,Red Oak ,Small,430,93.29585383
CC,ROS,Red Oak ,Small,438,92.58745394
CC,ROS,Red Oak ,Small,451,91.94489139
CC,ROS,Red Oak ,Small,437,92.26520419
BA,SYC,Sycamore,Small,521,88.25604151
BA,SYC,Sycamore,Small,501,78.64376333
BA,SYC,Sycamore,Small,512,86.0728527
BA,SYC,Sycamore,Small,503,88.43074824
BA,SYC,Sycamore,Small,524,81.71632896
G,SYC,Sycamore,Small,537,91.03386679
G,SYC,Sycamore,Small,515,88.63844338
G,SYC,Sycamore,Small,516,88.0168607
G,SYC,Sycamore,Small,530,89.59959114
G,SYC,Sycamore,Small,508,82.95520345
W,SYC,Sycamore,Small,519,91.29476989
W,SYC,Sycamore,Small,535,91.35748781
W,SYC,Sycamore,Small,510,91.57950514
W,SYC,Sycamore,Small,536,92.04643333
W,SYC,Sycamore,Small,5xx,89.56681512
CC,SYC,Sycamore,Small,513,92.91652477
CC,SYC,Sycamore,Small,506,92.94633748
CC,SYC,Sycamore,Small,525,91.84143277
CC,SYC,Sycamore,Small,527,91.68496096
CC,SYC,Sycamore,Small,529,92.50693388
